0,1
Datasets\IAM_Words\words\a04\a04-019\a04-019-03-01.png,conference
Datasets\IAM_Words\words\e06\e06-010\e06-010-00-06.png,do
Datasets\IAM_Words\words\b04\b04-195\b04-195-06-03.png,knowledge
Datasets\IAM_Words\words\b06\b06-059\b06-059-02-02.png,sections
Datasets\IAM_Words\words\c03\c03-087c\c03-087c-06-07.png,which
Datasets\IAM_Words\words\d07\d07-100\d07-100-01-03.png,and
Datasets\IAM_Words\words\a03\a03-030\a03-030-02-01.png,simply
Datasets\IAM_Words\words\b06\b06-019\b06-019-01-00.png,Strauss
Datasets\IAM_Words\words\a02\a02-120\a02-120-00-02.png,that
Datasets\IAM_Words\words\a02\a02-072\a02-072-02-00.png,will
Datasets\IAM_Words\words\a02\a02-082\a02-082-06-08.png,the
Datasets\IAM_Words\words\b02\b02-102\b02-102-00-03.png,allies
Datasets\IAM_Words\words\e06\e06-000\e06-000-01-03.png,orientation
Datasets\IAM_Words\words\b01\b01-018\b01-018-04-03.png,at
Datasets\IAM_Words\words\b06\b06-032\b06-032-06-00.png,policy
Datasets\IAM_Words\words\e04\e04-099\e04-099-05-09.png,waste
Datasets\IAM_Words\words\d04\d04-037\d04-037-02-02.png,my
Datasets\IAM_Words\words\d06\d06-111\d06-111-05-00.png,-
Datasets\IAM_Words\words\d04\d04-089\d04-089-03-10.png,.
Datasets\IAM_Words\words\a01\a01-091u\a01-091u-01-03.png,were
Datasets\IAM_Words\words\a01\a01-058\a01-058-07-03.png,more
Datasets\IAM_Words\words\e06\e06-037\e06-037-09-09.png,of
Datasets\IAM_Words\words\b01\b01-000\b01-000-00-06.png,out
Datasets\IAM_Words\words\a01\a01-063u\a01-063u-06-00.png,is
Datasets\IAM_Words\words\e04\e04-099\e04-099-02-03.png,to
Datasets\IAM_Words\words\c02\c02-059\c02-059-09-00.png,acting
Datasets\IAM_Words\words\a05\a05-099\a05-099-01-09.png,""""
Datasets\IAM_Words\words\a02\a02-057\a02-057-04-06.png,connection
Datasets\IAM_Words\words\a04\a04-019\a04-019-03-05.png,attention
Datasets\IAM_Words\words\a04\a04-006\a04-006-09-06.png,","
Datasets\IAM_Words\words\a06\a06-000\a06-000-04-01.png,in
Datasets\IAM_Words\words\d01\d01-104\d01-104-03-03.png,killed
Datasets\IAM_Words\words\a01\a01-020x\a01-020x-03-04.png,Liberals
Datasets\IAM_Words\words\a04\a04-035\a04-035-06-02.png,40
Datasets\IAM_Words\words\d04\d04-012\d04-012-05-11.png,","
Datasets\IAM_Words\words\d07\d07-102\d07-102-03-08.png,Samuel
Datasets\IAM_Words\words\a03\a03-071\a03-071-01-04.png,Government
Datasets\IAM_Words\words\a06\a06-119\a06-119-02-02.png,more
Datasets\IAM_Words\words\a04\a04-006\a04-006-05-07.png,Mr.
Datasets\IAM_Words\words\a03\a03-040\a03-040-01-09.png,since
Datasets\IAM_Words\words\b04\b04-075\b04-075-00-00.png,They
Datasets\IAM_Words\words\e02\e02-086\e02-086-01-07.png,minimum
Datasets\IAM_Words\words\a01\a01-063u\a01-063u-02-01.png,President
Datasets\IAM_Words\words\d07\d07-102\d07-102-06-07.png,Levi
Datasets\IAM_Words\words\a02\a02-072\a02-072-05-05.png,""""
Datasets\IAM_Words\words\b06\b06-093\b06-093-10-03.png,of
Datasets\IAM_Words\words\d06\d06-015\d06-015-00-08.png,refrains
Datasets\IAM_Words\words\a01\a01-082u\a01-082u-04-04.png,lag
Datasets\IAM_Words\words\a06\a06-000\a06-000-05-01.png,said
Datasets\IAM_Words\words\a01\a01-007\a01-007-07-05.png,challenge
Datasets\IAM_Words\words\a01\a01-096u\a01-096u-05-03.png,doctor
Datasets\IAM_Words\words\a01\a01-096u\a01-096u-07-06.png,the
Datasets\IAM_Words\words\a01\a01-091\a01-091-06-04.png,.
Datasets\IAM_Words\words\e02\e02-117\e02-117-07-00.png,designed
Datasets\IAM_Words\words\a01\a01-043u\a01-043u-03-07.png,strong
Datasets\IAM_Words\words\a02\a02-057\a02-057-02-07.png,except
Datasets\IAM_Words\words\e01\e01-107\e01-107-05-04.png,a
Datasets\IAM_Words\words\e01\e01-035\e01-035-06-01.png,folklore
Datasets\IAM_Words\words\e04\e04-083\e04-083-03-05.png,to
Datasets\IAM_Words\words\b04\b04-169\b04-169-07-00.png,to
Datasets\IAM_Words\words\c06\c06-138\c06-138-04-01.png,on
Datasets\IAM_Words\words\a01\a01-063x\a01-063x-06-03.png,""""
Datasets\IAM_Words\words\b01\b01-018\b01-018-00-06.png,.
Datasets\IAM_Words\words\d06\d06-020\d06-020-04-00.png,them
Datasets\IAM_Words\words\a03\a03-037\a03-037-06-00.png,Maritimes
Datasets\IAM_Words\words\e01\e01-032\e01-032-08-05.png,number
Datasets\IAM_Words\words\a02\a02-086\a02-086-05-03.png,know
Datasets\IAM_Words\words\c04\c04-170\c04-170-04-04.png,...
Datasets\IAM_Words\words\c03\c03-021f\c03-021f-00-01.png,Fanny
Datasets\IAM_Words\words\e07\e07-072\e07-072-00-05.png,substitutes
Datasets\IAM_Words\words\e04\e04-058\e04-058-04-08.png,For
Datasets\IAM_Words\words\e07\e07-066\e07-066-04-01.png,.
Datasets\IAM_Words\words\d07\d07-096\d07-096-08-02.png,Heavenly
Datasets\IAM_Words\words\b06\b06-023\b06-023-03-03.png,an
Datasets\IAM_Words\words\c06\c06-005\c06-005-01-07.png,are
Datasets\IAM_Words\words\a03\a03-017\a03-017-02-00.png,in
Datasets\IAM_Words\words\b06\b06-032\b06-032-02-01.png,not
Datasets\IAM_Words\words\c04\c04-122\c04-122-06-03.png,Special
Datasets\IAM_Words\words\e02\e02-025\e02-025-06-00.png,with
Datasets\IAM_Words\words\b04\b04-195\b04-195-00-09.png,.
Datasets\IAM_Words\words\a01\a01-091u\a01-091u-03-01.png,the
Datasets\IAM_Words\words\c03\c03-094a\c03-094a-04-07.png,the
Datasets\IAM_Words\words\d05\d05-021\d05-021-01-08.png,","
Datasets\IAM_Words\words\a04\a04-089\a04-089-00-04.png,of
Datasets\IAM_Words\words\b01\b01-084\b01-084-02-10.png,arrive
Datasets\IAM_Words\words\c06\c06-000\c06-000-05-00.png,gathered
Datasets\IAM_Words\words\c02\c02-049\c02-049-08-03.png,incomprehensible
Datasets\IAM_Words\words\b01\b01-062\b01-062-00-03.png,publish
Datasets\IAM_Words\words\c03\c03-081c\c03-081c-01-04.png,to
Datasets\IAM_Words\words\a04\a04-081\a04-081-00-01.png,General
Datasets\IAM_Words\words\b05\b05-032\b05-032-09-03.png,the
Datasets\IAM_Words\words\a01\a01-020\a01-020-07-07.png,a
Datasets\IAM_Words\words\a03\a03-037\a03-037-01-03.png,Quebec
Datasets\IAM_Words\words\e04\e04-083\e04-083-04-05.png,not
Datasets\IAM_Words\words\a01\a01-038\a01-038-05-06.png,cease
Datasets\IAM_Words\words\a05\a05-022\a05-022-00-00.png,It
Datasets\IAM_Words\words\c03\c03-000b\c03-000b-03-07.png,part-author
Datasets\IAM_Words\words\d01\d01-024\d01-024-00-06.png,theory
Datasets\IAM_Words\words\a06\a06-100\a06-100-02-03.png,Board
Datasets\IAM_Words\words\b05\b05-071\b05-071-03-10.png,kid
Datasets\IAM_Words\words\c02\c02-007\c02-007-00-05.png,take
Datasets\IAM_Words\words\a03\a03-009\a03-009-06-01.png,would
Datasets\IAM_Words\words\a03\a03-014\a03-014-05-05.png,","
Datasets\IAM_Words\words\e02\e02-094\e02-094-05-02.png,man
Datasets\IAM_Words\words\a01\a01-011\a01-011-06-02.png,Macleod
Datasets\IAM_Words\words\c04\c04-017\c04-017-04-00.png,VERDICT
Datasets\IAM_Words\words\d06\d06-111\d06-111-03-08.png,can
Datasets\IAM_Words\words\a01\a01-020\a01-020-05-04.png,.
Datasets\IAM_Words\words\e04\e04-011\e04-011-01-06.png,piece
Datasets\IAM_Words\words\b04\b04-075\b04-075-01-00.png,their
Datasets\IAM_Words\words\b06\b06-019\b06-019-04-04.png,A
Datasets\IAM_Words\words\a05\a05-099\a05-099-08-03.png,be
Datasets\IAM_Words\words\d04\d04-016\d04-016-08-07.png,.
Datasets\IAM_Words\words\a01\a01-053u\a01-053u-01-03.png,organisations
Datasets\IAM_Words\words\c03\c03-096c\c03-096c-06-03.png,act
Datasets\IAM_Words\words\b06\b06-000\b06-000-04-02.png,rearmament
Datasets\IAM_Words\words\d06\d06-063\d06-063-00-06.png,were
Datasets\IAM_Words\words\e06\e06-037\e06-037-05-02.png,are
Datasets\IAM_Words\words\b04\b04-116\b04-116-02-08.png,thoughtless
Datasets\IAM_Words\words\a01\a01-132\a01-132-10-03.png,Assistance
Datasets\IAM_Words\words\d06\d06-091\d06-091-08-00.png,a
Datasets\IAM_Words\words\c06\c06-058\c06-058-03-02.png,The
Datasets\IAM_Words\words\a01\a01-132\a01-132-03-01.png,Government
Datasets\IAM_Words\words\a04\a04-059\a04-059-03-09.png,that
Datasets\IAM_Words\words\b06\b06-087\b06-087-07-00.png,Polaris
Datasets\IAM_Words\words\e06\e06-049\e06-049-06-06.png,speed
Datasets\IAM_Words\words\a04\a04-089\a04-089-05-02.png,Holy
Datasets\IAM_Words\words\a04\a04-015\a04-015-05-04.png,Occasion
Datasets\IAM_Words\words\a06\a06-134\a06-134-03-00.png,treaty
Datasets\IAM_Words\words\b04\b04-140\b04-140-01-02.png,Hitler's
Datasets\IAM_Words\words\e06\e06-021\e06-021-05-03.png,thousands
Datasets\IAM_Words\words\b06\b06-090\b06-090-05-03.png,will
Datasets\IAM_Words\words\a06\a06-095\a06-095-01-03.png,through
Datasets\IAM_Words\words\e02\e02-000\e02-000-05-03.png,varieties
Datasets\IAM_Words\words\a02\a02-078\a02-078-07-01.png,lawlessness
Datasets\IAM_Words\words\c04\c04-139\c04-139-01-02.png,a
Datasets\IAM_Words\words\d04\d04-050\d04-050-04-04.png,instead
Datasets\IAM_Words\words\a05\a05-009\a05-009-01-01.png,.
Datasets\IAM_Words\words\c03\c03-003c\c03-003c-03-00.png,the
Datasets\IAM_Words\words\b06\b06-079\b06-079-09-01.png,in
Datasets\IAM_Words\words\c03\c03-096c\c03-096c-06-05.png,like
Datasets\IAM_Words\words\d06\d06-046\d06-046-08-05.png,at
Datasets\IAM_Words\words\e04\e04-114\e04-114-00-08.png,bottom
Datasets\IAM_Words\words\c04\c04-156\c04-156-00-04.png,interpretation
Datasets\IAM_Words\words\b06\b06-097\b06-097-03-05.png,than
Datasets\IAM_Words\words\c04\c04-000\c04-000-04-04.png,to
Datasets\IAM_Words\words\d01\d01-080\d01-080-03-10.png,Frequently
Datasets\IAM_Words\words\e04\e04-079\e04-079-02-03.png,If
Datasets\IAM_Words\words\c03\c03-081f\c03-081f-09-01.png,of
Datasets\IAM_Words\words\d07\d07-102\d07-102-04-00.png,and
Datasets\IAM_Words\words\c06\c06-095\c06-095-00-10.png,.
Datasets\IAM_Words\words\b06\b06-087\b06-087-02-05.png,Trades
Datasets\IAM_Words\words\b03\b03-114\b03-114-08-00.png,became
Datasets\IAM_Words\words\b04\b04-107\b04-107-07-06.png,","
Datasets\IAM_Words\words\a01\a01-038\a01-038-02-01.png,Sir
Datasets\IAM_Words\words\b04\b04-034\b04-034-00-04.png,this
Datasets\IAM_Words\words\c02\c02-035\c02-035-02-02.png,In
Datasets\IAM_Words\words\a04\a04-006\a04-006-05-00.png,informed
Datasets\IAM_Words\words\b01\b01-023\b01-023-03-06.png,to
Datasets\IAM_Words\words\b06\b06-000\b06-000-03-07.png,of
Datasets\IAM_Words\words\b03\b03-104\b03-104-01-07.png,up
Datasets\IAM_Words\words\a01\a01-077u\a01-077u-04-05.png,America
Datasets\IAM_Words\words\d06\d06-082\d06-082-03-04.png,Nevertheless
Datasets\IAM_Words\words\a04\a04-096\a04-096-00-05.png,with
Datasets\IAM_Words\words\a01\a01-128\a01-128-06-04.png,proposed
Datasets\IAM_Words\words\b01\b01-018\b01-018-06-05.png,is
Datasets\IAM_Words\words\a03\a03-017\a03-017-05-04.png,kingdom
Datasets\IAM_Words\words\a03\a03-073\a03-073-03-00.png,only
Datasets\IAM_Words\words\d01\d01-016\d01-016-03-00.png,The
Datasets\IAM_Words\words\a01\a01-058u\a01-058u-08-03.png,West
Datasets\IAM_Words\words\a05\a05-004\a05-004-05-00.png,and
Datasets\IAM_Words\words\d06\d06-025\d06-025-07-06.png,hand
Datasets\IAM_Words\words\c03\c03-084c\c03-084c-05-02.png,morality
Datasets\IAM_Words\words\a01\a01-049u\a01-049u-01-06.png,a
Datasets\IAM_Words\words\a06\a06-025\a06-025-01-00.png,Communists
Datasets\IAM_Words\words\d05\d05-025\d05-025-02-03.png,was
Datasets\IAM_Words\words\d04\d04-086\d04-086-01-06.png,sealed
Datasets\IAM_Words\words\a02\a02-098\a02-098-05-01.png,talks
Datasets\IAM_Words\words\a02\a02-037\a02-037-02-01.png,Comrades
Datasets\IAM_Words\words\b03\b03-092\b03-092-04-02.png,only
Datasets\IAM_Words\words\e02\e02-091\e02-091-04-01.png,this
Datasets\IAM_Words\words\a01\a01-011u\a01-011u-04-04.png,to
Datasets\IAM_Words\words\a06\a06-119\a06-119-06-01.png,last
Datasets\IAM_Words\words\a02\a02-086\a02-086-00-06.png,taken
Datasets\IAM_Words\words\a01\a01-107u\a01-107u-05-02.png,.
Datasets\IAM_Words\words\d04\d04-028\d04-028-02-08.png,of
Datasets\IAM_Words\words\c06\c06-076\c06-076-02-03.png,or
Datasets\IAM_Words\words\a01\a01-068u\a01-068u-07-05.png,pay
Datasets\IAM_Words\words\a03\a03-011\a03-011-06-01.png,","
Datasets\IAM_Words\words\a01\a01-020x\a01-020x-07-02.png,the
Datasets\IAM_Words\words\a01\a01-122\a01-122-01-06.png,take
Datasets\IAM_Words\words\c06\c06-087\c06-087-02-09.png,","
Datasets\IAM_Words\words\a03\a03-034\a03-034-05-05.png,that
Datasets\IAM_Words\words\c03\c03-081f\c03-081f-09-05.png,restrained
Datasets\IAM_Words\words\a03\a03-006\a03-006-04-03.png,though
Datasets\IAM_Words\words\b04\b04-000\b04-000-03-04.png,of
Datasets\IAM_Words\words\b04\b04-169\b04-169-03-09.png,the
Datasets\IAM_Words\words\e01\e01-055\e01-055-08-02.png,Crochet
Datasets\IAM_Words\words\c03\c03-094a\c03-094a-05-07.png,were
Datasets\IAM_Words\words\d05\d05-040\d05-040-03-00.png,and
Datasets\IAM_Words\words\b06\b06-093\b06-093-01-02.png,manufacture
Datasets\IAM_Words\words\a06\a06-128\a06-128-00-02.png,paid
Datasets\IAM_Words\words\a01\a01-077u\a01-077u-05-00.png,lagging
Datasets\IAM_Words\words\a01\a01-038\a01-038-08-03.png,.
Datasets\IAM_Words\words\a01\a01-007\a01-007-03-02.png,House
Datasets\IAM_Words\words\d04\d04-071\d04-071-03-01.png,of
Datasets\IAM_Words\words\c03\c03-084a\c03-084a-00-00.png,Mr.
Datasets\IAM_Words\words\a05\a05-080\a05-080-05-03.png,fully
Datasets\IAM_Words\words\a01\a01-014\a01-014-04-04.png,to
Datasets\IAM_Words\words\c03\c03-087a\c03-087a-04-04.png,","
Datasets\IAM_Words\words\b02\b02-097\b02-097-05-09.png,seldom
Datasets\IAM_Words\words\d04\d04-131\d04-131-02-05.png,was
Datasets\IAM_Words\words\b04\b04-075\b04-075-00-01.png,intend
Datasets\IAM_Words\words\a03\a03-011\a03-011-01-05.png,of
Datasets\IAM_Words\words\a01\a01-058u\a01-058u-05-02.png,indicated
Datasets\IAM_Words\words\c02\c02-082\c02-082-05-02.png,Film
Datasets\IAM_Words\words\b06\b06-045\b06-045-00-01.png,many
Datasets\IAM_Words\words\c04\c04-116\c04-116-00-15.png,as
Datasets\IAM_Words\words\c03\c03-021a\c03-021a-08-05.png,someone
Datasets\IAM_Words\words\a06\a06-152\a06-152-07-03.png,Berlin's
Datasets\IAM_Words\words\c04\c04-110\c04-110-03-05.png,who
Datasets\IAM_Words\words\d01\d01-049\d01-049-01-07.png,all
Datasets\IAM_Words\words\e07\e07-072\e07-072-01-00.png,since
Datasets\IAM_Words\words\d01\d01-085\d01-085-03-04.png,","
Datasets\IAM_Words\words\a03\a03-017\a03-017-01-01.png,mission
Datasets\IAM_Words\words\a05\a05-099\a05-099-06-03.png,production
Datasets\IAM_Words\words\d04\d04-121\d04-121-05-03.png,the
Datasets\IAM_Words\words\c04\c04-116\c04-116-00-07.png,couple
Datasets\IAM_Words\words\a02\a02-042\a02-042-02-03.png,effect
Datasets\IAM_Words\words\c03\c03-007f\c03-007f-00-05.png,Mr.
Datasets\IAM_Words\words\c03\c03-021a\c03-021a-05-02.png,protector
Datasets\IAM_Words\words\a02\a02-111\a02-111-08-06.png,rally
Datasets\IAM_Words\words\b04\b04-128\b04-128-01-01.png,comes
Datasets\IAM_Words\words\a02\a02-067\a02-067-06-02.png,affairs
Datasets\IAM_Words\words\d06\d06-020\d06-020-03-01.png,possibilities
Datasets\IAM_Words\words\b05\b05-074\b05-074-00-04.png,the
Datasets\IAM_Words\words\c02\c02-003\c02-003-05-01.png,an
Datasets\IAM_Words\words\b04\b04-004\b04-004-09-07.png,","
Datasets\IAM_Words\words\d07\d07-093\d07-093-00-04.png,with
Datasets\IAM_Words\words\e04\e04-034\e04-034-06-07.png,can
Datasets\IAM_Words\words\e04\e04-062\e04-062-00-05.png,resin
Datasets\IAM_Words\words\c03\c03-007d\c03-007d-06-00.png,worn
Datasets\IAM_Words\words\b01\b01-018\b01-018-01-04.png,in
Datasets\IAM_Words\words\b05\b05-098\b05-098-02-04.png,but
Datasets\IAM_Words\words\c04\c04-080\c04-080-04-04.png,a
Datasets\IAM_Words\words\c04\c04-116\c04-116-03-13.png,.
Datasets\IAM_Words\words\a03\a03-014\a03-014-04-00.png,ister
Datasets\IAM_Words\words\c01\c01-066\c01-066-00-00.png,The
Datasets\IAM_Words\words\e02\e02-086\e02-086-03-04.png,simple
Datasets\IAM_Words\words\b04\b04-026\b04-026-00-09.png,grumblers
Datasets\IAM_Words\words\c06\c06-052\c06-052-01-05.png,of
Datasets\IAM_Words\words\d07\d07-089\d07-089-10-08.png,b.
Datasets\IAM_Words\words\c03\c03-094a\c03-094a-05-00.png,law
Datasets\IAM_Words\words\a01\a01-053x\a01-053x-08-00.png,nomination
Datasets\IAM_Words\words\b05\b05-074\b05-074-01-02.png,iniquitous
Datasets\IAM_Words\words\a01\a01-091u\a01-091u-09-00.png,Labour
Datasets\IAM_Words\words\a04\a04-035\a04-035-01-06.png,'
Datasets\IAM_Words\words\e06\e06-026\e06-026-04-02.png,known
Datasets\IAM_Words\words\c03\c03-007f\c03-007f-01-03.png,in
Datasets\IAM_Words\words\a03\a03-050\a03-050-07-01.png,techniques
Datasets\IAM_Words\words\a01\a01-049u\a01-049u-09-00.png,Robertson
Datasets\IAM_Words\words\d06\d06-100\d06-100-06-02.png,hear
Datasets\IAM_Words\words\c04\c04-144\c04-144-06-00.png,essay
Datasets\IAM_Words\words\a05\a05-080\a05-080-03-00.png,by
Datasets\IAM_Words\words\b05\b05-079\b05-079-05-00.png,seventeen
Datasets\IAM_Words\words\d06\d06-086\d06-086-01-08.png,routine
Datasets\IAM_Words\words\a02\a02-000\a02-000-00-08.png,trust
Datasets\IAM_Words\words\b06\b06-110\b06-110-00-10.png,people
Datasets\IAM_Words\words\c04\c04-039\c04-039-06-01.png,Mr.
Datasets\IAM_Words\words\c03\c03-000b\c03-000b-02-04.png,been
Datasets\IAM_Words\words\a03\a03-054\a03-054-09-05.png,for
Datasets\IAM_Words\words\e02\e02-025\e02-025-03-02.png,the
Datasets\IAM_Words\words\a01\a01-003u\a01-003u-07-04.png,believes
Datasets\IAM_Words\words\a01\a01-091\a01-091-02-07.png,a
Datasets\IAM_Words\words\c04\c04-056\c04-056-01-04.png,out
Datasets\IAM_Words\words\a01\a01-007x\a01-007x-03-03.png,but
Datasets\IAM_Words\words\a01\a01-087\a01-087-03-03.png,with
Datasets\IAM_Words\words\d06\d06-107\d06-107-00-07.png,","
Datasets\IAM_Words\words\a01\a01-128\a01-128-00-02.png,Brown
Datasets\IAM_Words\words\d06\d06-104\d06-104-02-05.png,one
Datasets\IAM_Words\words\b05\b05-032\b05-032-05-02.png,British
Datasets\IAM_Words\words\c03\c03-081d\c03-081d-00-02.png,the
Datasets\IAM_Words\words\c02\c02-012\c02-012-01-00.png,colouring
Datasets\IAM_Words\words\d04\d04-050\d04-050-04-05.png,of
Datasets\IAM_Words\words\b02\b02-013\b02-013-06-01.png,most
Datasets\IAM_Words\words\b04\b04-040\b04-040-05-05.png,to
Datasets\IAM_Words\words\b01\b01-014\b01-014-02-03.png,exercised
Datasets\IAM_Words\words\a03\a03-030\a03-030-05-03.png,to
Datasets\IAM_Words\words\e07\e07-066\e07-066-03-00.png,mantis
Datasets\IAM_Words\words\d06\d06-000\d06-000-02-01.png,suggested
Datasets\IAM_Words\words\a05\a05-104\a05-104-07-06.png,especially
Datasets\IAM_Words\words\a02\a02-057\a02-057-02-06.png,","
Datasets\IAM_Words\words\a01\a01-082u\a01-082u-08-05.png,poles
Datasets\IAM_Words\words\b05\b05-050\b05-050-05-04.png,thought
Datasets\IAM_Words\words\d04\d04-075\d04-075-01-07.png,lesson
Datasets\IAM_Words\words\c04\c04-105\c04-105-04-07.png,brings
Datasets\IAM_Words\words\e04\e04-038\e04-038-01-02.png,decides
Datasets\IAM_Words\words\c03\c03-003b\c03-003b-02-05.png,qualities
Datasets\IAM_Words\words\d04\d04-021\d04-021-02-00.png,diamond
Datasets\IAM_Words\words\a05\a05-009\a05-009-06-06.png,may
Datasets\IAM_Words\words\b04\b04-134\b04-134-09-00.png,issues
Datasets\IAM_Words\words\a04\a04-035\a04-035-03-02.png,join
Datasets\IAM_Words\words\a02\a02-057\a02-057-03-02.png,the
Datasets\IAM_Words\words\a06\a06-014\a06-014-01-04.png,the
Datasets\IAM_Words\words\e07\e07-000\e07-000-05-02.png,of
Datasets\IAM_Words\words\b01\b01-079\b01-079-10-02.png,unless
Datasets\IAM_Words\words\c03\c03-021e\c03-021e-06-01.png,in
Datasets\IAM_Words\words\d01\d01-049\d01-049-03-03.png,was
Datasets\IAM_Words\words\c03\c03-094c\c03-094c-08-02.png,suitably
Datasets\IAM_Words\words\d07\d07-100\d07-100-09-02.png,the
Datasets\IAM_Words\words\c06\c06-087\c06-087-03-09.png,on
Datasets\IAM_Words\words\a01\a01-026x\a01-026x-01-00.png,in
Datasets\IAM_Words\words\a01\a01-077\a01-077-02-04.png,cables
Datasets\IAM_Words\words\a01\a01-020\a01-020-01-01.png,House
Datasets\IAM_Words\words\b04\b04-202\b04-202-07-04.png,.
Datasets\IAM_Words\words\e02\e02-086\e02-086-08-05.png,things
Datasets\IAM_Words\words\e06\e06-000\e06-000-03-06.png,and
Datasets\IAM_Words\words\a02\a02-017\a02-017-02-01.png,(
Datasets\IAM_Words\words\d05\d05-021\d05-021-02-03.png,'
Datasets\IAM_Words\words\b03\b03-092\b03-092-03-03.png,.
Datasets\IAM_Words\words\a06\a06-095\a06-095-08-08.png,is
Datasets\IAM_Words\words\d04\d04-111\d04-111-05-08.png,The
Datasets\IAM_Words\words\b06\b06-023\b06-023-00-02.png,divisions
Datasets\IAM_Words\words\a05\a05-000\a05-000-01-04.png,","
Datasets\IAM_Words\words\a04\a04-023\a04-023-03-02.png,.
Datasets\IAM_Words\words\a04\a04-099\a04-099-01-05.png,Britain
